deutsch;english
Lieferadresse;Delivery address
Sprache;Language
Bestellen;Order
Summe;Sum
Preis;Price
Stück;Piece
Gesamt;Total
zurück;back
Lieferadresse fehlt;missing delivery address
Es muss mindestens eine Pizza bestellt werden;You need to order at least one pizza
